tweet_id,tweet_time,retweet,favorites,follows
670427002554466305,2015-11-28 02:20:27,174,536,6903716
670421925039075328,2015-11-28 02:00:17,676,1362,6903716
670420569653809152,2015-11-28 01:54:54,331,654,6903716
670417414769758208,2015-11-28 01:42:22,340,588,6903716
670411370698022913,2015-11-28 01:18:21,955,2119,6903716
670408998013820928,2015-11-28 01:08:55,235,576,6903716
670403879788544000,2015-11-28 00:48:35,165,448,6903716
670385711116361728,2015-11-27 23:36:23,227,579,6903716
670374371102445568,2015-11-27 22:51:19,283,766,6903716
670361874861563904,2015-11-27 22:01:40,70,337,6903716
670338931251150849,2015-11-27 20:30:30,118,443,6903716
670319130621435904,2015-11-27 19:11:49,1303,3994,6903716
670303360680108032,2015-11-27 18:09:09,143,440,6903716
670290420111441920,2015-11-27 17:17:44,300,735,6903716
670093938074779648,2015-11-27 04:16:59,357,1074,6903716
670086499208155136,2015-11-27 03:47:25,266,725,6903716
670079681849372674,2015-11-27 03:20:20,1331,2314,6903716
670073503555706880,2015-11-27 02:55:47,837,1625,6903716
670069087419133954,2015-11-27 02:38:14,257,655,6903716
670061506722140161,2015-11-27 02:08:07,365,792,6903716
670055038660800512,2015-11-27 01:42:24,349,694,6903716
670046952931721218,2015-11-27 01:10:17,187,672,6903716
670040295598354432,2015-11-27 00:43:49,117,782,6903716
670037189829525505,2015-11-27 00:31:29,296,609,6903716
670003130994700288,2015-11-26 22:16:09,97,345,6903716
669993076832759809,2015-11-26 21:36:12,89,336,6903716
669972011175813120,2015-11-26 20:12:29,171,461,6903716
669970042633789440,2015-11-26 20:04:40,64,312,6903716
669942763794931712,2015-11-26 18:16:16,177,526,6903716
669926384437997569,2015-11-26 17:11:11,111,390,6903716
669923323644657664,2015-11-26 16:59:01,61,243,6903716
669753178989142016,2015-11-26 05:42:55,425,839,6903716
669749430875258880,2015-11-26 05:28:02,68,283,6903716
669684865554620416,2015-11-26 01:11:28,93,542,6903716
669683899023405056,2015-11-26 01:07:38,116,407,6903716
669682095984410625,2015-11-26 01:00:28,139,366,6903716
669680153564442624,2015-11-26 00:52:45,303,695,6903716
669661792646373376,2015-11-25 23:39:47,461,836,6903716
669625907762618368,2015-11-25 21:17:12,1908,3674,6903716
669603084620980224,2015-11-25 19:46:30,391,983,6903716
669597912108789760,2015-11-25 19:25:57,160,530,6903716
669583744538451968,2015-11-25 18:29:39,987,1546,6903716
669573570759163904,2015-11-25 17:49:14,152,450,6903716
669571471778410496,2015-11-25 17:40:53,1058,1644,6903716
669567591774625800,2015-11-25 17:25:28,60,242,6903716
669564461267722241,2015-11-25 17:13:02,130,399,6903716
669393256313184256,2015-11-25 05:52:43,81,377,6903716
669375718304980992,2015-11-25 04:43:02,763,1388,6903716
669371483794317312,2015-11-25 04:26:12,188,515,6903716
669367896104181761,2015-11-25 04:11:57,166,474,6903716
669363888236994561,2015-11-25 03:56:01,242,648,6903716
669359674819481600,2015-11-25 03:39:17,131,381,6903716
669354382627049472,2015-11-25 03:18:15,1339,2808,6903716
669353438988365824,2015-11-25 03:14:30,268,669,6903716
669351434509529089,2015-11-25 03:06:32,198,457,6903716
669328503091937280,2015-11-25 01:35:25,439,1044,6903716
669327207240699904,2015-11-25 01:30:16,121,596,6903716
669324657376567296,2015-11-25 01:20:08,216,513,6903716
669216679721873412,2015-11-24 18:11:04,405,934,6903716
669214165781868544,2015-11-24 18:01:05,178,458,6903716
669203728096960512,2015-11-24 17:19:36,503,1046,6903716
669037058363662336,2015-11-24 06:17:19,327,679,6903716
669015743032369152,2015-11-24 04:52:37,391,765,6903716
669006782128353280,2015-11-24 04:17:01,263,595,6903716
669000397445533696,2015-11-24 03:51:38,6709,21627,6903716
668994913074286592,2015-11-24 03:29:51,247,457,6903716
668992363537309700,2015-11-24 03:19:43,368,774,6903716
668989615043424256,2015-11-24 03:08:48,344,705,6903716
668988183816871936,2015-11-24 03:03:06,499,933,6903716
668986018524233728,2015-11-24 02:54:30,176,572,6903716
668981893510119424,2015-11-24 02:38:07,325,560,6903716
668979806671884288,2015-11-24 02:29:49,372,820,6903716
668975677807423489,2015-11-24 02:13:25,618,1361,6903716
668967877119254528,2015-11-24 01:42:25,25,152,6903716
668960084974809088,2015-11-24 01:11:27,250,733,6903716
668955713004314625,2015-11-24 00:54:05,74,292,6903716
668932921458302977,2015-11-23 23:23:31,60,278,6903716
668902994700836864,2015-11-23 21:24:36,106,330,6903716
668892474547511297,2015-11-23 20:42:48,160,412,6903716
668872652652679168,2015-11-23 19:24:02,313,548,6903716
668852170888998912,2015-11-23 18:02:38,174,470,6903716
668826086256599040,2015-11-23 16:18:59,147,454,6903716
668815180734689280,2015-11-23 15:35:39,285,593,6903716
668779399630725120,2015-11-23 13:13:28,395,730,6903716
668655139528511488,2015-11-23 04:59:42,229,549,6903716
668645506898350081,2015-11-23 04:21:26,570,931,6903716
668643542311546881,2015-11-23 04:13:37,559,921,6903716
668641109086707712,2015-11-23 04:03:57,561,1121,6903716
668636665813057536,2015-11-23 03:46:18,510,1083,6903716
668633411083464705,2015-11-23 03:33:22,1740,2929,6903716
668631377374486528,2015-11-23 03:25:17,338,745,6903716
668627278264475648,2015-11-23 03:09:00,121,331,6903716
668625577880875008,2015-11-23 03:02:14,140,410,6903716
